block	head	mad
0	0	249.999725
0	1	207.550110
0	2	255.701553
0	3	245.680237
0	4	208.707245
0	5	236.808762
1	0	200.097473
1	1	91.215309
1	2	241.481918
1	3	203.112122
1	4	22.763210
1	5	180.802673
2	0	228.351456
2	1	154.303299
2	2	25.008102
2	3	181.700974
2	4	39.174141
2	5	78.399185
3	0	42.400551
3	1	62.677021
3	2	143.119263
3	3	203.351196
3	4	235.719131
3	5	69.562042
4	0	230.787140
4	1	79.729965
4	2	146.536316
4	3	111.268845
4	4	76.931107
4	5	163.454361
5	0	139.047699
5	1	161.421951
5	2	211.485794
5	3	104.536148
5	4	94.470039
5	5	156.510834
6	0	126.945732
6	1	135.201859
6	2	153.770004
6	3	237.099014
6	4	128.826111
6	5	213.149536
7	0	134.600876
7	1	156.464508
7	2	144.100601
7	3	242.657043
7	4	135.352798
7	5	175.760284
8	0	146.685944
8	1	171.316452
8	2	157.944199
8	3	171.653091
8	4	207.680542
8	5	214.379272
9	0	212.660980
9	1	209.174820
9	2	220.527283
9	3	222.060776
9	4	223.202393
9	5	212.954361
10	0	223.949158
10	1	226.933289
10	2	229.415100
10	3	228.413803
10	4	224.840118
10	5	228.255646
11	0	233.447372
11	1	232.161072
11	2	232.288788
11	3	232.640778
11	4	239.141083
11	5	232.371704
