block	head	mad
0	0	243.908737
0	1	226.505463
0	2	241.310547
0	3	239.189209
0	4	216.493347
0	5	212.096069
0	6	208.029541
0	7	216.683609
0	8	209.205948
0	9	234.493393
0	10	238.388519
0	11	251.903168
1	0	138.669739
1	1	27.548000
1	2	243.084717
1	3	25.480726
1	4	230.853699
1	5	239.589966
1	6	238.990997
1	7	211.866684
1	8	26.591885
1	9	201.909775
1	10	189.569366
1	11	176.374252
2	0	44.869595
2	1	57.101604
2	2	130.043869
2	3	181.052353
2	4	214.173752
2	5	239.775391
2	6	27.828026
2	7	42.259018
2	8	151.877075
2	9	128.077209
2	10	150.882736
2	11	99.187874
3	0	165.076019
3	1	215.411835
3	2	245.602768
3	3	70.392128
3	4	73.338577
3	5	225.671005
3	6	174.771194
3	7	207.633484
3	8	122.023979
3	9	55.636803
3	10	72.813744
3	11	137.198486
4	0	247.258148
4	1	80.887123
4	2	105.555565
4	3	80.637611
4	4	165.877670
4	5	117.915092
4	6	123.696671
4	7	192.053116
4	8	105.996399
4	9	161.851074
4	10	134.903458
4	11	221.737473
5	0	100.091217
5	1	141.549835
5	2	293.548492
5	3	221.709229
5	4	120.457939
5	5	168.462433
5	6	143.875107
5	7	139.749527
5	8	219.229752
5	9	194.121597
5	10	162.043594
5	11	179.646713
6	0	113.583206
6	1	120.813812
6	2	125.606918
6	3	176.752167
6	4	129.770309
6	5	172.347473
6	6	117.905975
6	7	227.033966
6	8	220.963928
6	9	178.537506
6	10	155.285934
6	11	244.348923
7	0	179.464127
7	1	135.973495
7	2	159.033508
7	3	199.664185
7	4	206.077774
7	5	159.934158
7	6	173.838150
7	7	172.213409
7	8	185.691772
7	9	170.993225
7	10	195.789658
7	11	177.147522
8	0	208.727554
8	1	209.261459
8	2	211.530106
8	3	198.716904
8	4	207.281082
8	5	216.277252
8	6	213.227646
8	7	205.895691
8	8	217.924347
8	9	217.453201
8	10	198.255417
8	11	199.308014
9	0	215.105896
9	1	213.571045
9	2	222.594498
9	3	221.009293
9	4	216.981750
9	5	214.344650
9	6	226.510269
9	7	218.271591
9	8	222.675995
9	9	229.557602
9	10	222.498779
9	11	224.438263
10	0	219.977127
10	1	221.609467
10	2	222.010498
10	3	220.213043
10	4	220.322464
10	5	219.616776
10	6	221.773483
10	7	220.710999
10	8	218.477066
10	9	219.986481
10	10	222.874603
10	11	219.788376
11	0	224.462936
11	1	226.432251
11	2	229.609390
11	3	227.559204
11	4	225.665802
11	5	230.926224
11	6	228.512894
11	7	240.671585
11	8	228.361710
11	9	229.202637
11	10	224.231598
11	11	226.836014
